x,y,z,k,l,a,n,dt,db,dt/db,b,t
400,400,400,400.0,400.0,160000,64000000,178582.675,150,1190.5511666666666,150,178582.675
100,100,100,100.0,100.0,10000,1000000,3462.735,39,88.78807692307693,39,3462.735
512,512,512,512.0,512.0,262144,134217728,181039.292,94,1925.9499148936168,192,369782.38365957444
