x,y,z,k,l,a,n,dt,db,dt/db,b,t
400,400,400,400.0,400.0,160000,64000000,62751.015,21.0,2988.1435714285712,150.0,448221.5357142857
10,10,100,21.54434690031884,10.0,100,10000,58.824,15.0,3.9215999999999998,39.0,152.9424
400,400,1,54.28835233189813,400.0,160000,160000,744.814,2.0,372.407,3.0,1117.221
100,100,100,100.0,100.0,10000,1000000,,,,,
